Test,N,Dinamismo,Algoritmo,Tiempo,Longitud,Éxito
Escalabilidad,41,0.1,A*,0.0007588863372802734,0,False
Escalabilidad,41,0.1,AG,2.916059970855713,0,False
Escalabilidad,41,0.1,A*,0.001512289047241211,39,True
Escalabilidad,41,0.1,AG,0.9024379253387451,128,True
Escalabilidad,41,0.1,A*,3.409385681152344e-05,5,True
Escalabilidad,41,0.1,AG,0.005204916000366211,55,True
Escalabilidad,41,0.1,A*,1.2874603271484375e-05,0,False
Escalabilidad,41,0.1,AG,0.8349268436431885,0,False
Escalabilidad,41,0.1,A*,0.0006539821624755859,41,True
Escalabilidad,41,0.1,AG,0.13822507858276367,144,True
Escalabilidad,41,0.1,A*,0.0007190704345703125,0,False
Escalabilidad,41,0.1,AG,3.066375255584717,0,False
Escalabilidad,41,0.1,A*,0.0005080699920654297,23,True
Escalabilidad,41,0.1,AG,0.005939006805419922,165,True
Escalabilidad,41,0.1,A*,0.0005550384521484375,0,False
Escalabilidad,41,0.1,AG,1.8072309494018555,142,True
Escalabilidad,41,0.1,A*,0.0002739429473876953,17,True
Escalabilidad,41,0.1,AG,0.0063817501068115234,182,True
Escalabilidad,41,0.1,A*,0.0004532337188720703,21,True
Escalabilidad,41,0.1,AG,0.012983083724975586,131,True
Escalabilidad,41,0.1,A*,0.0006821155548095703,0,False
Escalabilidad,41,0.1,AG,2.7602617740631104,0,False
Escalabilidad,41,0.1,A*,4.792213439941406e-05,7,True
Escalabilidad,41,0.1,AG,0.005198955535888672,51,True
Escalabilidad,41,0.1,A*,0.0006620883941650391,0,False
Escalabilidad,41,0.1,AG,3.0541419982910156,0,False
Escalabilidad,41,0.1,A*,0.00023984909057617188,17,True
Escalabilidad,41,0.1,AG,0.008970975875854492,103,True
Escalabilidad,41,0.1,A*,0.0007879734039306641,0,False
Escalabilidad,41,0.1,AG,2.7017159461975098,0,False
Escalabilidad,41,0.1,A*,5.793571472167969e-05,7,True
Escalabilidad,41,0.1,AG,0.0059320926666259766,165,True
Escalabilidad,41,0.1,A*,0.0002808570861816406,21,True
Escalabilidad,41,0.1,AG,0.005362033843994141,160,True
Escalabilidad,41,0.1,A*,0.0007419586181640625,0,False
Escalabilidad,41,0.1,AG,0.017374038696289062,135,True
Escalabilidad,41,0.1,A*,0.000701904296875,0,False
Escalabilidad,41,0.1,AG,3.3038101196289062,0,False
Escalabilidad,41,0.1,A*,4.00543212890625e-05,0,False
Escalabilidad,41,0.1,AG,0.6505799293518066,87,True
Escalabilidad,41,0.25,A*,0.0008578300476074219,0,False
Escalabilidad,41,0.25,AG,4.053004026412964,0,False
Escalabilidad,41,0.25,A*,0.0011162757873535156,39,True
Escalabilidad,41,0.25,AG,0.5180432796478271,149,True
Escalabilidad,41,0.25,A*,9.512901306152344e-05,5,True
Escalabilidad,41,0.25,AG,0.008023977279663086,55,True
Escalabilidad,41,0.25,A*,1.8358230590820312e-05,0,False
Escalabilidad,41,0.25,AG,1.092137098312378,0,False
Escalabilidad,41,0.25,A*,0.00038695335388183594,27,True
Escalabilidad,41,0.25,AG,0.1839160919189453,148,True
Escalabilidad,41,0.25,A*,0.00074005126953125,0,False
Escalabilidad,41,0.25,AG,4.4464781284332275,0,False
Escalabilidad,41,0.25,A*,0.0021190643310546875,23,True
