Test,N,Dinamismo,Algoritmo,Tiempo,Longitud,Éxito
Escalabilidad,11,0.05,A*,0.00012302398681640625,11,True
Escalabilidad,11,0.05,AG,0.002246856689453125,39,True
Escalabilidad,11,0.05,A*,8.106231689453125e-06,0,False
Escalabilidad,11,0.05,AG,0.3337719440460205,0,False
Escalabilidad,11,0.05,A*,4.291534423828125e-06,1,True
Escalabilidad,11,0.05,AG,0.0013720989227294922,1,True
Escalabilidad,11,0.05,A*,0.0001609325408935547,0,False
Escalabilidad,11,0.05,AG,0.7664680480957031,0,False
Escalabilidad,11,0.05,A*,0.00011301040649414062,13,True
Escalabilidad,11,0.05,AG,0.001756906509399414,33,True
Escalabilidad,11,0.05,A*,0.000125885009765625,0,False
Escalabilidad,11,0.05,AG,0.6054158210754395,0,False
Escalabilidad,11,0.05,A*,0.00012874603271484375,13,True
Escalabilidad,11,0.05,AG,0.0016298294067382812,33,True
Escalabilidad,11,0.05,A*,0.000125885009765625,15,True
Escalabilidad,11,0.05,AG,0.00569605827331543,41,True
Escalabilidad,11,0.05,A*,9.298324584960938e-05,0,False
Escalabilidad,11,0.05,AG,0.8720951080322266,0,False
Escalabilidad,11,0.05,A*,3.886222839355469e-05,7,True
Escalabilidad,11,0.05,AG,0.002474069595336914,29,True
Escalabilidad,11,0.05,A*,0.00028705596923828125,15,True
Escalabilidad,11,0.05,AG,0.0018088817596435547,25,True
Escalabilidad,11,0.05,A*,9.059906005859375e-06,3,True
Escalabilidad,11,0.05,AG,0.0014820098876953125,28,True
Escalabilidad,11,0.05,A*,8.106231689453125e-06,0,False
Escalabilidad,11,0.05,AG,0.021361112594604492,18,True
Escalabilidad,11,0.05,A*,7.414817810058594e-05,9,True
Escalabilidad,11,0.05,AG,0.0016558170318603516,13,True
Escalabilidad,11,0.05,A*,1.3113021850585938e-05,0,False
Escalabilidad,11,0.05,AG,0.6775789260864258,0,False
Escalabilidad,11,0.05,A*,4.291534423828125e-06,1,True
Escalabilidad,11,0.05,AG,0.0013539791107177734,1,True
Escalabilidad,11,0.05,A*,0.00013113021850585938,0,False
Escalabilidad,11,0.05,AG,0.6260900497436523,0,False
Escalabilidad,11,0.05,A*,0.0003209114074707031,9,True
Escalabilidad,11,0.05,AG,0.001374959945678711,15,True
Escalabilidad,11,0.05,A*,1.2874603271484375e-05,3,True
Escalabilidad,11,0.05,AG,0.0014910697937011719,5,True
Escalabilidad,11,0.05,A*,3.886222839355469e-05,0,False
Escalabilidad,11,0.05,AG,0.7189550399780273,0,False
Escalabilidad,21,0.05,A*,0.0006949901580810547,0,False
Escalabilidad,21,0.05,AG,2.449296236038208,0,False
Escalabilidad,21,0.05,A*,0.0004749298095703125,39,True
Escalabilidad,21,0.05,AG,0.5209739208221436,129,True
Escalabilidad,21,0.05,A*,2.8848648071289062e-05,5,True
Escalabilidad,21,0.05,AG,0.00506901741027832,55,True
Escalabilidad,21,0.05,A*,1.1205673217773438e-05,0,False
Escalabilidad,21,0.05,AG,0.6971409320831299,0,False
Escalabilidad,21,0.05,A*,0.0006489753723144531,43,True
Escalabilidad,21,0.05,AG,1.1405391693115234,143,True
Escalabilidad,21,0.05,A*,0.0006451606750488281,0,False
Escalabilidad,21,0.05,AG,2.5797410011291504,0,False
Escalabilidad,21,0.05,A*,0.00047397613525390625,23,True
Escalabilidad,21,0.05,AG,0.0665750503540039,101,True
Escalabilidad,21,0.05,A*,0.0005199909210205078,0,False
Escalabilidad,21,0.05,AG,2.5211970806121826,0,False
Escalabilidad,21,0.05,A*,0.00024509429931640625,17,True
Escalabilidad,21,0.05,AG,0.007998943328857422,95,True
